Symbol	GSM452235	GSM452236	GSM452237	GSM452238	GSM452239	GSM452240	GSM452241	GSM452242	GSM452243	GSM452246	GSM452247	GSM452248	GSM452250	GSM452251	GSM452252	GSM452253	GSM452254	GSM452255	GSM452256	GSM452257	GSM452258	GSM452259	GSM452260
ERBB3	2.49831	2.43853	3.01171	3.76061	2.87227	4.81729	2.75922	3.13225	3.49777	2.62372	2.18076	2.77004	3.80172	2.59051	3.59404	2.82849	3.66096	2.0608	5.21605	3.97232	3.33268	3.19993	1.49279
TBC1D8B	17.0531	21.5474	7.97706	18.0152	9.81438	2.48259	7.55518	11.3281	4.98858	11.626	8.95245	4.94991	13.8973	9.89347	15.4253	3.33575	31.4106	8.85053	6.93397	17.8147	5.66854	7.33245	19.547
MAGIX	40.9599	12.1664	33.7612	50.1545	20.7264	48.5129	35.2518	26.1255	30.4171	36.2617	38.3644	32.2737	40.9606	54.2354	32.7964	28.1055	37.7946	20.0906	56.8809	36.2591	41.5863	27.2392	33.4975
MLLT10	82.1427	59.3648	61.8785	51.8298	50.9739	43.0418	59.6557	57.9556	66.9654	35.7896	26.0258	104.914	36.4773	66.7057	25.6303	126.905	38.5543	35.8415	22.0319	61.3892	25.0172	32.9458	20.8569
IRGM	12.3185	7.99	0.841017	2.78953	10.0846	2.03517	23.3901	1.15037	1.86062	2.02092	0.683682	3.20539	13.0461	16.3826	14.5416	27.7901	32.9429	10.0596	3.8919	3.0425	1.69599	8.48285	10.1275
ZNF628	34.7724	31.3002	47.9279	51.1758	61.4919	57.6177	51.7968	37.173	64.2739	47.2166	11.5294	32.8216	44.3914	51.0691	25.747	53.2766	41.0148	35.3916	87.7502	81.5977	50.8192	34.1431	36.7984
RNF216	4.37096	1.80018	2.15069	3.10681	0.925337	4.84761	18.2544	8.70337	10.4707	13.3407	2.90543	8.23754	1.34397	3.72233	3.64613	2.58062	4.64557	2.03414	1.85843	9.40521	2.65874	1.94893	2.99535
ATP4B	3.88304	7.171	2.75311	6.61102	4.5753	5.10853	3.87333	3.07164	3.21465	2.99884	4.14351	4.14635	7.69885	4.54174	4.76322	5.82067	4.92985	4.35242	12.7509	5.23575	3.86938	4.9251	7.59478
DEFB107A	1.0343	0.577865	0.781427	0.791733	0.659527	0.845117	1.43141	0.587869	1.96352	0.672347	0.768476	0.866835	0.628321	1.57939	1.19148	0.990475	1.06323	0.621222	1.58429	0.887898	0.79313	0.832653	0.660834
SOX6	7.05586	6.24796	2.35108	10.0837	4.51547	2.74062	7.00768	8.58837	0.545819	3.8376	3.76496	2.65958	8.46355	0.531586	1.14601	11.6131	16.1889	14.9088	1.1056	3.32831	25.0656	1.83877	3.58534
PARVA	20.5431	38.8007	28.4144	33.1919	24.343	32.2033	16.4929	27.4421	19.038	37.9895	21.4162	32.9806	23.1477	16.362	19.3482	43.609	51.2473	19.1902	71.8264	58.2548	15.1788	35.3095	39.0767
MYLK	5.8954	8.33074	1.92678	16.5437	13.6709	6.96432	7.69208	13.1656	7.60499	8.32894	3.05261	11.2368	0.764358	15.5262	1.57866	7.6656	8.23421	13.6615	23.9573	11.0263	17.7341	21.3799	6.93371
EPG5	26.0379	9.28835	25.2167	42.2915	5.58663	42.8506	46.6426	35.9535	35.8535	16.8188	34.9954	16.8263	8.5721	6.40183	11.3517	43.4971	14.5515	22.822	39.6493	76.5695	28.3734	19.267	7.48509
KIAA1671	8.62128	27.2852	2.78704	5.50703	2.14359	2.07135	7.93405	2.05732	4.27992	3.64062	12.0544	13.0972	20.5055	15.9281	19.7679	25.8952	3.07973	8.4222	21.1608	1.7294	3.88639	2.72887	13.7628
TMEM132B	3.02584	1.822	27.3447	14.048	27.2581	6.57469	8.26458	15.9102	22.4138	12.8076	3.48584	12.9422	3.58736	15.0531	9.08591	7.62377	27.9188	13.7929	53.3943	27.9092	20.3709	5.9976	31.9073
SLC25A45	74.4761	92.32	46.4519	25.6899	42.5685	45.6809	37.7603	44.9546	53.9694	126.322	50.5335	59.3852	53.2194	43.5841	34.2387	93.854	64.7236	74.5289	97.4568	35.4612	60.5992	18.907	44.7537
ZDHHC2	64.4729	36.056	38.5993	99.6407	26.8331	127.002	52.5271	47.0157	33.292	50.3962	32.0965	106.941	27.6094	40.0044	38.6312	68.0657	38.7453	46.7053	57.2713	52.0822	46.1367	31.1276	16.9393
NOS1AP	24.2418	37.3707	26.4881	32.5443	55.1515	49.2819	42.0353	19.5558	30.8824	53.7436	11.3782	31.4274	36.0593	31.7198	29.0341	33.4327	34.8945	4.79639	59.8568	75.7041	25.1673	26.0172	40.1872
SYTL4	11.9821	13.0201	7.52632	3.17982	7.96804	1.73294	0.883392	3.19925	8.37683	2.02804	5.48636	18.292	2.47788	4.52525	1.36684	3.03627	2.8751	1.11123	27.0028	4.33923	1.13479	2.44995	15.9293
MOB3B	70.2946	43.2293	53.9728	44.6112	68.081	108.837	65.3398	39.6263	32.6365	90.5626	80.3418	65.6875	42.932	42.1606	42.0522	65.8374	36.943	56.6849	113.412	96.5935	34.3495	47.4475	76.3575
DDX10	1.00462	0.996279	0.789852	1.11159	6.52735	9.16497	3.2871	0.607837	1.50065	1.26309	2.3837	1.49912	1.85204	1.09932	0.81307	1.1598	2.11819	3.2356	5.7574	1.03739	1.01544	0.644016	0.553918
HMCN2	28.8071	7.55446	11.4242	1.10639	8.13572	3.21809	17.5024	2.00724	3.74554	14.3815	5.97786	6.90993	17.9085	20.5583	8.47878	4.69627	22.516	2.41935	18.2401	22.2441	10.7644	19.6755	0.839472
GADL1	7.86463	2.04217	2.11979	3.13319	15.032	11.4085	1.97704	1.18807	1.52972	3.00774	9.63018	2.03016	7.93902	6.10448	2.59214	8.30249	14.4971	8.48051	2.54275	8.09725	1.33064	2.32546	9.16081
ANO8	48.4324	51.6982	51.1746	47.0555	89.6763	30.9869	45.044	53.0409	58.8284	50.7408	56.9393	49.5182	41.5572	68.4425	84.7757	72.813	82.3365	88.8837	180.375	40.8786	49.8655	83.3656	46.4287
FMN1	3.30316	1.48522	10.4735	1.46531	2.83497	14.1647	1.0518	7.16342	11.7344	4.11027	8.46538	4.30666	2.81855	26.8349	1.18801	12.041	18.2259	3.15968	0.985072	17.1304	0.808442	5.57212	8.427
