Symbol	GSM998327	GSM998335	GSM998346	GSM998318	GSM998319	GSM998320	GSM998322	GSM998324	GSM998325	GSM998326	GSM998328	GSM998331	GSM998332	GSM998333	GSM998336	GSM998337	GSM998340	GSM998342	GSM998345	GSM998348
OTUB2	-0.118	1.291	1.967	NA	0.863	-0.106	1.815	1.174	0.588	-0.194	-0.062	-1.468	0.182	0.006	0.044	-0.351	0.062	-0.271	1.223	-0.322
OTUD1	1.453	2.549	1.33	1.075	1.769	1.652	-0.909	-0.189	1.196	0.449	2.238	-0.977	2.575	1.187	-0.084	1.093	1.065	2.541	1.826	1.968
OTUD3	0.088	-0.533	-1.15	-1.557	0.056	0.278	-3.899	-0.498	-1.716	-0.741	-0.216	-0.311	-0.493	-0.686	-0.612	-0.69	0.015	-0.533	-1.408	-0.138
OTUD4	0.013	0.11	1.646	-0.706	0.128	-0.473	NA	0.133	-0.559	-0.946	3.418	0.35	0.59	1.039	-0.814	2.292	-2.595	0.78	-0.599	-0.208
OTUD7B	1.593	0.007	0.856	-1.78	0.484	-0.277	-0.177	1.885	-4.828	-0.635	0.693	-1.855	-0.334	-0.472	-0.396	-1.291	-0.394	-0.216	0.618	-0.946
OTX2	-0.631	-1.857	NA	0.34	2.489	-0.604	3.378	2.819	0.09	-0.455	-0.28	-1.136	-1.583	-0.416	-0.761	0.324	-1.791	-0.482	-1.443	-1.139
OVGP1	-0.435	0.133	-0.869	-0.555	-0.022	-2.498	1.323	-0.084	NA	0.495	1.809	-0.801	0.484	0.436	0.182	2.1	0.743	-0.009	0.586	-0.291
OVOL1	-1.262	-1.831	0.871	-1.193	-0.709	NA	6.534	0.712	1.372	-0.41	1.643	-1.697	-0.378	-0.821	-0.92	0.932	0.606	0	-3.031	-0.522
OVOL3	-0.488	-2.594	0.806	-1.648	1.709	-0.127	3.385	-0.629	0.687	-0.013	-0.629	0.038	-0.903	-0.21	-1.443	2.532	1.065	-0.344	0.395	-0.145
OXA1L	-0.182	NA	0.987	-0.118	-0.046	-1.64	NA	-1.061	1.305	0.244	NA	0.642	1.146	0.106	-0.067	2.543	1.535	1.109	1.388	0.645
OXCT1	-3.637	-3.741	-4.284	-3.393	-2.139	-2.634	-4.421	-1.404	-4.151	-2.47	-3.717	-2.359	-0.78	-1.259	-1.613	-2.911	-2.543	-0.722	-2.5	-1.799
