Symbol	logFC	AveExpr	t	P.Value	adj.P.Val	B
SMPDL3B	0.113450980392156	-1.1289	0.168055871058455	0.868047441615091	0.961991541657666	-6.06188563995571
SMPX	0.508686274509806	-2.55595	0.741271465835578	0.466229743160375	0.778516035231184	-5.80716251823158
SMR3B	-0.94927450980392	1.75945	-2.25668498788488	0.0341079662934225	0.252577485854196	-3.81586731915615
SMS	-0.181549019607844	-4.26865	-0.359405946653535	0.722657382890095	0.907718016070708	-6.01207954421984
SMTN	1.39114583333333	-3.99784210526316	1.50574804113359	0.146750582544342	0.482349846480058	-5.00534638153519
SMTNL2	0.239029411764708	0.174368421052632	0.141451203248608	0.888836641133506	0.969050544722418	-5.89994360750176
SMU1	0.714725490196078	-1.91415	1.25016690725098	0.224141900579515	0.573931823383418	-5.32890321445464
SMUG1	0.406215686274509	-0.55505	0.921044939371053	0.366840779286288	0.708895430715333	-5.6638559078579
SMURF1	-0.519395833333332	-0.708052631578947	-1.0000062062712	0.328481424835191	0.677500224006375	-5.58721866253802
SMURF2	-0.847882352941177	-2.9767	-1.10895169071887	0.27921562307546	0.630681238988556	-5.48372872859989
SMYD2	0.235533333333333	0.0369444444444444	0.555921523923714	0.584310891145243	0.84559744273031	-5.91414006082293
SMYD3	-1.41133333333333	0.0687	-1.22111299311911	0.234740759045569	0.584865330819267	-5.36207904217608
SMYD5	0.215980392156862	-1.81375	0.486389486504386	0.631415795133889	0.867187221430623	-5.95933672027104
SNAI2	1.56856862745098	-3.89205	1.9774439151324	0.0604248900937447	0.329100702801004	-4.29855096026387
SNAP23	-1.0346862745098	1.62285	-2.00203772802122	0.0575344246362337	0.321574319604521	-4.25773035077059
SNAP25	-0.282568627450979	-2.58785	-0.710774441890565	0.484559638840349	0.790226614259827	-5.82856518911796
SNAP29	-0.414666666666669	1.32947368421053	-0.611560456296895	0.547271103789763	0.828018934051269	-5.88760435944339
SNAPC1	0.689833333333334	0.0125789473684211	1.50448824116463	0.147072491571437	0.482844867175671	-5.00703810591332
SNAPC2	-0.0548823529411767	-0.85565	-0.118794785612518	0.906496854791069	0.974535957053417	-6.06887749676957
SNAPC3	-1.16650980392157	0.5968	-1.91757493989293	0.0680041372574869	0.345281770438498	-4.39646421112423
SNAPC4	0.558215686274509	-1.93185	1.19972173363095	0.242783519145397	0.593673606400198	-5.38607186322625
SNAPIN	-0.0542549019607838	-0.25045	-0.167834312009368	0.86821970382023	0.961991541657666	-6.06192245084661
